link,headline,category,short_description
https://www.huffingtonpost.com/entry/what-its-like-to-get-nexplanon-the-birth-control_us_59c15a85e4b082fd4205ba3f,"What It's Like To Get Nexplanon, The Birth Control Implant In Your Arm",PARENTING,"Health.com, ContributorHealth.com",2017-09-19
https://www.huffingtonpost.com/entry/shameover-mens-mental-health_us_55e89d73e4b0aec9f3569fe3,Introducing ShameOver: A Conversation About Men's Mental Health,HEALTHY LIVING,Lindsay Holmes,2015-09-10
https://www.huffingtonpost.com/entry/the-forgotten-farmers_b_7163906.html,The Forgotten Farmers,WORLDPOST,"Stefanie Sacks, MS, CNS, CDN, ContributorCulinary nutritionist, author, consultant, speaker and food fi...",2015-05-15
https://www.huffingtonpost.com/entry/why-viruses-thrive-on-college-campuses_us_57e001a2e4b0071a6e086a60,Why Viruses Thrive On College Campuses,COLLEGE,"Rachael Rettner, LiveScience.com",2016-09-19
https://www.huffingtonpost.com/entry/why-netflixs-13-reasons-why-could-save-lives_us_591b440ce4b0f31b03fb9f87,Why Netflix's '13 Reasons Why' Could Save Lives,HEALTHY LIVING,"Rebecca Lammersen, ContributorI’m a mother/writer/poet/yoga teacher/student/swimmer/lover of...",2017-05-16
https://www.huffingtonpost.com/entry/sleep-tracking-problems_us_59010a54e4b0026db1ddd604,I Tracked My Sleep For A Month And All It Did Was Stress Me Out,HEALTHY LIVING,"Anna Sterling, HuffPost",2017-04-28
https://www.huffingtonpost.com/entry/happy-spouse-better-health_us_57ea91cae4b024a52d2ab31a,A Happy Spouse Might Mean Better Health,HEALTHY LIVING,Allison Fox,2016-09-27
https://www.huffingtonpost.com/entry/treadmill-workouts_b_5948400.html,5 Boredom-Busting Treadmill Workouts,ARTS,"SELF, Contributor",2014-10-12
https://www.huffingtonpost.com/entry/the-benefits-of-being-mindful_us_5a1389aae4b08b00ba673354,The Benefits Of Being Mindful,WELLNESS,"Dr. Kurt Smith, ContributorClinical Director, Guy Stuff Counseling & Coaching",2017-11-21
https://www.huffingtonpost.com/entry/get-stressed-eat-repeat-how-we-can-break-stress_us_58415c3de4b04587de5de8fd,Get Stressed. Eat. Repeat. How We Can Break Stress Eating Habits Simply By Paying Attention.,WELLNESS,"Judson Brewer, ContributorAssociate Professor, UMass Medical School",2016-12-02
https://www.huffingtonpost.com/entry/men-yoga_b_7655114.html,Why More Men Should Practice Yoga,WELLNESS,"Rachael Yahne, ContributorLifestyle writer, blogger, and cancer survivor sharing advice ...",2015-06-25
https://www.huffingtonpost.com/entry/summer-diet_b_7242084.html,5 Diet Disasters That May Hurt You (and Your Waist) This Summer,HEALTHY LIVING,"Kristin Kirkpatrick, M.S., R.D., L.D., ContributorManager of Wellness Nutrition Services at Cleveland Clinic Wel...",2015-05-15
https://www.huffingtonpost.com/entry/3-ways-to-relieve-pain-wi_b_6271514.html,3 Ways to Help Relieve Pain With Massage,WELLNESS,"Chris Freytag, ContributorNational fitness expert, speaker, contributor to Prevention ma...",2014-12-10
https://www.huffingtonpost.com/entry/conquer-this-feeling-for-work-life-balance_us_598a1273e4b0f25bdfb32019,You MUST Conquer This Feeling For Work-Life Balance,WOMEN,"Dr. Patty Ann Tublin, ContributorEmotional Intelligence, Communication & Relationship Expert",2017-08-08
https://www.huffingtonpost.com/entry/human-cases-of-rabbit-fever-have-jumped-this-year_us_5661d90be4b08e945fef4c8e,Human Cases of 'Rabbit Fever'  Have Jumped This Year,HEALTHY LIVING,"Mike Stobbe, Associated Press",2015-12-04
https://www.huffingtonpost.com/entry/repurposing-ideas-new-uses-rice_us_5b9c6a8fe4b03a1dcc7e7957,Repurposing Ideas: 5 New Uses For Rice,HOME & LIVING,"Chris Barnes, Contributor
Non-Profit Public Relations Specialist",2012-10-16
https://www.huffingtonpost.com/entry/how-to-clean-a-phone_us_5b9cb0b2e4b03a1dcc80ea77,How To Clean A Phone,HOME & LIVING,"Bruce Lubin, Contributor
co-author of the Who Knew? book series and the website WhoKnew...",2013-01-07
https://www.huffingtonpost.com/entry/old-wives-tales_us_5b9d620be4b03a1dcc87513b,9 'Old Wives' Tales' That Are Actually True (PHOTOS),STYLE & BEAUTY,Shana Ecker,2013-07-26
https://www.huffingtonpost.com/entry/paramount-residence-alma_us_5b9d6b58e4b03a1dcc87cac7,Paramount Residence Alma By Plasma Studio Is Set In The Most Picturesque Mountain Scene (PHOTOS),HOME & LIVING,Shana Ecker,2013-08-09
https://www.huffingtonpost.com/entry/thom-filicia-house-tour-elle-decor_us_5b9d2c94e4b03a1dcc852b0e,Thom Filicia Combines Elegance And Comfort In His Latest House Tour Featured In Elle Decor's June Issue (PHOTOS),HOME & LIVING,Michelle Manetti,2013-05-17
https://www.huffingtonpost.com/entry/dont-be-the-last-person-t_us_5b9d0c45e4b03a1dcc840703,Don't Be the Last Person to Get Backyard Chickens,SCIENCE,"Ryan Nickum, Contributor
Blogger, Estately Real Estate Search",2013-04-15
https://www.huffingtonpost.com/entry/how-to-clean-cell-phone-keys-with-an-eraser_us_5b9c8079e4b03a1dcc7f3ac2,How To Clean Cell Phone Keys With An Eraser,GREEN,Michelle Manetti,2012-11-09
https://www.huffingtonpost.com/entry/painted-votive-candle-holders-craft_us_5b9cae84e4b03a1dcc80d6cf,DIY Painted Votive Candle Holders That Will Add A Unique Touch To Your Home,HOME & LIVING,Amy Marturana,2013-01-03
https://www.huffingtonpost.com/entry/biggest-party-mistakes-hosting_us_5b9d7330e4b03a1dcc882464,The 5 Biggest Party Mistakes You May Be Making When You're Hosting At Home (PHOTOS),FIFTY,Shana Ecker,2013-08-20
https://www.huffingtonpost.com/entry/best-flea-markets-world_us_5b9d8f72e4b03a1dcc89829b,A Guide To The Best Flea Markets In The World (PHOTOS),HOME & LIVING,"Maria Brito, Contributor
Art Advisor, Designer, Curator, Book Author",2013-09-30
https://www.huffingtonpost.com/entry/youtube-spaces-chris-young_us_5b9b90d4e4b03a1dcc78a89a,House Tour: YouTube 'Spaces' Creator Chris Young's Manhattan Home (PHOTOS),HOME & LIVING,Diana N. Nguyen,2012-04-13
https://www.huffingtonpost.com/entry/homes-pool-tables_us_5b9d6614e4b03a1dcc8786c7,15 Homes With Amazing Pool Tables That Are Anything But An Eyesore (PHOTOS),HOME & LIVING,Michelle Manetti,2013-08-01
https://www.huffingtonpost.com/entry/6-lessons-from-freaks-geeks_us_5b9d81c5e4b03a1dcc88e2b4,6 Life Lessons From 'Freaks & Geeks' (GIFs),CRIME,"Chris Barnes, Contributor
Non-Profit Public Relations Specialist",2013-09-12
https://www.huffingtonpost.com/entry/olive-grove-home_us_5b9d6cd9e4b03a1dcc87da58,"The Olive Grove Home In Andalucia, Spain Has Gorgeous Views Of The Sea (PHOTOS)",HOME & LIVING,Shana Ecker,2013-08-12
https://www.huffingtonpost.com/entry/a-conversation-with-the-r_us_5b9d0bc3e4b03a1dcc840367,A Conversation With The Rug Company's Co-founder Suzanne Sharp,HOME & LIVING,"Blue Carreon, Contributor
Fashion writer",2013-04-16
https://www.huffingtonpost.com/entry/joy-reid-blog-post-hacking_us_5ae0ae7ee4b02baed1b593b6,Joy Reid’s Hacking Claims Look Increasingly Unlikely,TECH,Hayley Miller,2018-04-26
https://www.huffingtonpost.com/entry/andrew-napolitano-warning-trump-michael-cohen_us_5af35258e4b0859d11d004d0,Fox News Judicial Analyst Issues Dark Warning To Trump Over Michael Cohen,MEDIA,Rebecca Shapiro,2018-05-09
https://www.huffingtonpost.com/entry/shepard-smith-trump-fact-check_us_5a56c42ee4b03bc4d03dee3c,Shepard Smith Hits Trump With A Brutal Fact Check On Russia Investigation,MEDIA,Ed Mazza,2018-01-11
https://www.huffingtonpost.com/entry/think-the-nyt-and-fox-covered-bannon-differently-yes_us_599c2424e4b0ac90f2cba9b7,Think The New York Times And Fox Covered Bannon Differently? Yes And No. | The Knife Media,MEDIA,"Jens Erik Gould, ContributorEditor-in-Chief of The Knife Media",2017-08-22
https://www.huffingtonpost.com/entry/sixty-years-in-journalism_b_6818820.html,"60 Years in Journalism: You Can Go Home Again, But It's Hard",MEDIA,"Irv Chapman , ContributorVeteran Washington and foreign correspondent for major broadca...",2015-03-09
https://www.huffingtonpost.com/entry/what-journalism-needs-to-do-post-election_us_5835b8b4e4b050dfe61878e5,What Journalism Needs To Do Post-Election,MEDIA,"Carrie Brown, ContributorDirector of the social journalism program at the CUNY Graduate...",2016-11-23
https://www.huffingtonpost.com/entry/trump-rejected-snl-skits-too-risque_us_563e38a5e4b0b24aee4a8fab,Donald Trump Says He Rejected 'SNL' Skits That Were 'Too Risqué',MEDIA,Gabriel Arana,2015-11-07
https://www.huffingtonpost.com/entry/se-cupp-nikki-haley-balls_us_5ad7e885e4b03c426dab1a2f,Conservative Pundit S.E. Cupp Hits Trump White House Right In The Balls,COMEDY,Ed Mazza,2018-04-19
https://www.huffingtonpost.com/entry/us-press-freedom-tracker-journalists-attacks_us_5980de10e4b0353fbb3332bc,Journalism Advocates Join In Tracking Trump-Era Attacks On The Press,MEDIA,Michael Calderone,2017-08-02
https://www.huffingtonpost.com/entry/center-for-public-integrity-layoffs_us_5727a5efe4b0b49df6abf293,Center For Public Integrity Lays Off Two Reporters Amid Restructuring,POLITICS,Michael Calderone,2016-05-02
https://www.huffingtonpost.com/entry/tomi-lahren-joe-kennedy-meltdown_us_5a72735ce4b09a544b5665fb,Tomi Lahren Apologizes For 'Limp Dick' Social Media Meltdown,MEDIA,Ed Mazza,2018-02-01
https://www.huffingtonpost.com/entry/why-we-need-pull-no-punches-reporting-that-holds_us_59f0a7d8e4b0dd88d362d8e4,Why We Need 'Pull-No-Punches Reporting' That Holds Big Corporations And Moneyed Interests Accountable,POLITICS,"Wendell Potter, ContributorFounder of Tarbell.org",2017-10-25
https://www.huffingtonpost.com/entry/ben-stein-wonders-if-obama-hates-america-because-hes-part-black_us_564d0721e4b00b7997f930fe,Ben Stein Wonders If Obama Hates America Because 'He's Part Black',POLITICS,Michael McLaughlin,2015-11-19
https://www.huffingtonpost.com/entry/donald-trump-snl-nbc-felix-sanchez_us_5640a910e4b0b24aee4ad5f1,Hispanic Foundation Leader Blasts NBC For Trump 'SNL' Appearance,LATINO VOICES,Judah Robinson,2015-11-09
https://www.huffingtonpost.com/entry/fox-cuts-ties-with-guest-who-cited-john-mccain-to-defend-torture_us_5af58ce0e4b00d7e4c19cd54,Fox Cuts Ties With Guest Who Cited John McCain To Defend Torture,MEDIA,Marina Fang,2018-05-11
https://www.huffpost.com/entry/mitch-mcconnell-senate-rules-backfires_n_61dd4afde4b0c7d8b8b48b06,Mitch McConnell Told To 'Save The Damn Crocodile Tears' After Whining About Voting,POLITICS,Lee Moran,2022-01-11
https://www.huffingtonpost.com/entry/sweeping-changes-at-sec-under-new-leadership_us_59147068e4b002274b946a2a,Sweeping Changes At SEC Under New Leadership,BUSINESS,"Laura Anthony, Esq., ContributorFounding Partner of Legal & Compliance, LLC, a National Corpor...",2017-05-11
https://www.huffingtonpost.com/entry/ecuador-hope-for-donald-trump_us_587bf980e4b0b3c7a7b1f03e,Ecuador Has ‘Hope’ For Good Relationship With Trump Despite ‘Concerns’,WORLD NEWS,Daniel Marans,2017-01-15
https://www.huffingtonpost.com/entry/rick-snyder-congress_us_56ea098ce4b0860f99db8f29,Rick Snyder Says A Water Crisis Like Flint's Could Happen Anywhere,TASTE,Arthur Delaney,2016-03-17
https://www.huffingtonpost.com/entry/trump-tax-returns-lankford_us_58f76ba8e4b029063d359530,Another GOP Senator Says Donald Trump Should Release His Tax Returns,POLITICS,Igor Bobic,2017-04-19
https://www.huffingtonpost.com/entry/pentagon-bush-torture-pictures-secret_us_56b52971e4b08069c7a769ad,Pentagon Continues To Block Release Of Bush-Era Torture Photos,TRAVEL,Jessica Schulberg and Cristian Farias,2016-02-06
https://www.huffingtonpost.com/entry/civility-strikes-back_us_58ed6e78e4b0145a227cb984,Civility Strikes Back,TECH,"Jonathan Funke, ContributorRepublican-centrist-in-residence. Last one standing.",2017-04-12
https://www.huffingtonpost.com/entry/nfl-veteran-marco-rubio-football_us_55d6476ee4b020c386de2626,Here's What An NFL Veteran Has To Say About Marco Rubio's Football Skills,SPORTS,Zach Carter and Adriana Usero,2015-08-21
https://www.huffingtonpost.com/entry/playing-a-symphony-on-that-white-skin_us_599497aae4b055243ea13538,Playing A Symphony On That White Skin,FIFTY,"Les Leopold, ContributorExecutive Director, The Labor Institute",2017-08-17
https://www.huffingtonpost.com/entry/tim-murphys-resignation-highlights-moral-bankruptcy_us_59e0e2a2e4b003f928d5e62b,Tim Murphy’s Resignation Highlights Moral Bankruptcy Of Pro-Life Movement,ENVIRONMENT,"Erin Matson, Guest WriterGuest Writer",2017-10-13
https://www.huffingtonpost.com/entry/congress-gun-violence-paul-ryan_us_57850776e4b0e05f05236a61,"Paul Ryan Wants To Fix Gun Violence, Proposes No Solutions",POLITICS,Matt Fuller and Laura Barrón-López,2016-07-12
https://www.huffingtonpost.com/entry/hating-refugees-america_us_564c8fdbe4b06037734bc8a0,Hating Refugees Is Pretty Much As American As Apple Pie,COMEDY,Amanda Terkel and Nick Wing,2015-11-18
https://www.huffingtonpost.com/entry/trump-florida-shooting-visit_us_5a877aa3e4b00bc49f442321,"Trump Visits Shooting Victims, Local Police En Route To Mar-a-Lago For Long Weekend",THE WORLDPOST,S.V. Date,2018-02-17
https://www.huffingtonpost.com/entry/mondays-morning-email-the-state-of-the-campaign-after-the-fbis-latest-announcement_us_58207d50e4b0e80b02cb097f,Monday's Morning Email: The State Of The Campaign After The FBI's Latest Announcement,POLITICS,Lauren Weber,2016-11-07
https://www.huffingtonpost.com/entry/ag-reverses-predecessors-memo-easing-drug-crime-prosecutions_us_591bc4ffe4b0a8551f3f8423,AG Reverses Predecessor’s Memo Easing Drug Crime Prosecutions,CRIME,"Christopher Zoukis, ContributorAuthor and Prisoners' Rights Advocate",2017-05-17
https://www.huffingtonpost.com/entry/scientists-take-huge-step-toward-universal-flu-vaccine_us_55df5a8be4b0e7117ba93157,Scientists Take Huge Step Toward Universal Flu Vaccine,SCIENCE,Joe Satran,2015-08-28
https://www.huffingtonpost.com/entry/dragonfly-44-dark-matter_us_57c0b0f6e4b04193420f3d41,Why The Discovery Of The Milky Way's 'Dark Twin' Is Such A Big Deal,SCIENCE,David Freeman,2016-08-28
https://www.huffingtonpost.com/entry/hawaii-supreme-court-hears-case-against-controversial-telescope_us_55dfc260e4b0aec9f352ca2e,Hawaii Supreme Court Hears Case Against Controversial Telescope,U.S. NEWS,"CATHY BUSSEWITZ, AP",2015-08-28
https://www.huffingtonpost.com/entry/im-a-scientist-with-learn_b_5517718.html,I'm a Scientist With Learning Disabilities and That's Okay!,SCIENCE,"Collin Diedrich, ContributorA scientist that learns differently.",2014-06-21
https://www.huffingtonpost.com/entry/quantum-dots-treat-superbug-infections_us_569eb601e4b00f3e98634e5b,Tiny Quantum Dots May Spell Doom For Deadly Superbug Infections,U.S. NEWS,David Freeman,2016-01-20
https://www.huffingtonpost.com/entry/does-natural-selection-evolution_us_5baeb05fe4b014374e2dbbc1,Does Natural Selection Really Explain What Makes Evolution Succeed?,BLACK VOICES,"James Shapiro, Contributor
Professor of Microbiology at the University of Chicago",2012-08-12
https://www.huffingtonpost.com/entry/mini-pigs-pets-china_us_560de3cde4b0af3706e0434e,China Is Genetically Engineering Mini Pigs To Sell As Pets,SCIENCE,Carla Herreria,2015-10-04
https://www.huffingtonpost.com/entry/monarch-butterflies-extinct_us_56f6e5c9e4b0143a9b48699a,Eastern Monarch Butterflies May Be At Risk Of Extinction Within 20 Years,ENVIRONMENT,Hilary Hanson,2016-03-26
https://www.huffingtonpost.com/entry/tooth-denisovan-prehistoric-relatives_us_564b5e8ae4b045bf3df0fa5f,This Tooth Holds New Clues About Our Prehistoric Relatives,ENTERTAINMENT,Eliza Sankar-Gorton,2015-11-18
https://www.huffingtonpost.com/entry/baby-volcanic-island-pacific-growing_us_5baebf17e4b014374e2ee578,Baby Volcanic Island Niijima Merges With Older Neighbor In Pacific Ocean (PHOTOS),FIFTY,"LiveScience, LiveScience",2014-04-05
https://www.huffingtonpost.com/entry/if-you-like-to-blow-s-up-check-out-these-chemistry-gifs_us_55fb2167e4b08820d917edca,"If You Like To Blow S*** Up, Check Out These Chemistry GIFs",WEIRD NEWS,David Freeman,2015-09-28
https://www.huffingtonpost.com/entry/youre-not-a-chimpanzee-so-dont-make-love-like-one_b_6284916.html,"You're Not a Chimpanzee, So Don't Make Love Like One",WOMEN,"Dan Cloud, ContributorAuthor, 'The Domestication of Language'; lecturer, Princeton U...",2014-12-10
https://www.huffingtonpost.com/entry/bad-sleep-genes_us_55afa019e4b08f57d5d30bbf,Just One Night Of Bad Sleep Can Alter Your Genes,HEALTHY LIVING,Jacqueline Howard,2015-07-22
https://www.huffingtonpost.com/entry/how-one-doctor-is-waging-war-on-bad-science_us_56cb2f54e4b0928f5a6c7aa6,How One Doctor Is Waging War On Bulls**t Science,WELLNESS,David Freeman,2016-02-24
https://www.huffingtonpost.com/entry/the-days-of-our-lives-one_b_5389553.html,"The Days of Our Lives, One Day at a Time",COLLEGE,"Wray Herbert, ContributorAuthor, 'On Second Thought: Outsmarting Your Mind's Hard-Wired...",2014-05-25
https://www.huffingtonpost.com/entry/runner-attacked-by-rubber-band-in-freakiest-track-mishap-ever_us_58a31bd4e4b094a129ef0086,Runner 'Attacked' By Rubber Band In Freakiest Track Mishap Ever,WEIRD NEWS,Ron Dicker,2017-02-14
https://www.huffingtonpost.com/entry/fiji-first-olympic-gold-celebrations_us_57ad6a8ce4b007c36e4e1b46,Fiji Wins Its First Olympic Gold And Immediately Declares Public Holiday,EDUCATION,Lee Moran,2016-08-12
https://www.huffingtonpost.com/entry/lebron-james-buzzer-beater_us_5ae14008e4b04aa23f1f258f,LeBron James Nails Incredible 3-Point Buzzer-Beater To Seal Game 5 For Cleveland,SPORTS,Ed Mazza,2018-04-26
